Spent,Payout
23,47.14
43,85.41
87,167.92
38,79.36
86,165.57
69,135.51
43,85.83
24,47.4
11,22.32
73,152.41
19,37.18
71,147.64
52,104.37
5,9.7
2,3.88
97,200.96
99,197.22
34,69.78
5,10.4
99,195.04
4,7.92
91,181.73
44,89.11
97,188.82
96,192.42
34,71.15
47,93.83
71,147.16
22,44.09
8,15.84
86,173.71
31,59.21
51,97.38
75,145.48
91,189.33
39,75.81
85,169.16
39,74.99
95,195.63
6,12.49
32,64.49
52,103.52
90,175.97
10,19.73
9,18.75
23,48.04
80,156.31
12,25.13
44,87.39
22,42.08
9,18.31
63,129.32
66,130.77
89,176.56
6,11.86
45,90.86
31,61.86
29,58.64
79,164.41
86,168.22
18,35.91
58,119.36
24,46.18
23,45.91
7,13.7
28,58.39
80,166.66
57,112.61
63,123.02
92,190.85
29,60.03
100,199.09
27,53.32
51,106.8
80,154.05
9,17.8
60,117.09
70,134.17
63,123.84
98,201.67
85,170.95
39,77.31
57,111.51
71,141.87
86,164.82
89,173.18
1,1.93
43,89.09
99,196.9
16,31.57
71,144.51
43,81.78
11,22.49
0,0.0
92,183.55
73,139.62
13,26.53
88,177.48
9,17.19
7,14.57
41,80.03
11,22.67
9,17.55
52,100.0
12,24.63
31,59.91
85,173.37
91,185.74
92,179.7
34,68.76
92,186.66
8,16.38
8,16.31
26,54.14
52,106.17
96,191.76
15,29.04
97,193.66
49,95.83
100,195.96
5,10.13
66,134.07
85,165.41
92,178.7
37,75.67
95,195.52
93,195.24
51,101.65
48,92.49
60,117.4
79,158.14
4,7.93
2,4.15
24,47.97
21,40.59
62,121.78
60,124.06
26,49.98
16,30.63
31,60.44
82,160.37
7,13.59
35,66.85
1,1.94
1,2.0
26,54.21
77,152.84
48,93.45
23,44.82
77,149.68
73,141.95
58,111.99
45,91.01
63,122.01
6,12.02
59,114.41
20,40.83
70,136.74
40,83.3
6,11.87
16,30.7
70,140.53
10,20.87
27,52.28
19,36.97
55,115.46
32,62.69
5,10.01
72,137.29
42,85.2
95,186.67
17,35.55
50,100.12
58,117.05
42,80.09
86,165.67
48,94.13
14,28.44
5,10.07
83,172.02
45,86.62
48,99.54
93,185.78
94,193.1
100,201.12
89,175.51
24,48.53
14,27.55
75,153.32
3,6.3
39,78.57
47,95.62
69,132.65
30,59.72
75,149.4
69,143.91
23,47.0
20,38.5
80,155.12
100,195.0
89,175.02
73,140.48
47,94.21
26,50.26
84,171.38
89,185.36
96,186.98
84,169.14
25,48.44
18,37.41
49,95.05
22,42.78
34,68.7
67,128.2
32,62.2
69,144.13
24,48.32
89,184.62
6,12.15
86,163.63
61,120.5
95,181.87
22,44.72
43,84.15
56,114.32
11,22.63
14,29.33
89,179.29
61,117.28
88,183.23
30,61.2
72,146.14
4,8.33
41,80.15
7,14.44
52,108.63
59,117.99
24,50.4
6,11.64
72,140.86
78,161.43
22,42.58
67,132.96
1,1.92
35,71.31
41,81.01
39,75.41
83,161.93
80,167.84
8,16.46
1,1.97
23,46.38
54,110.98
83,159.78
80,165.99
23,46.57
7,13.57
72,147.72
6,12.22
85,169.69
78,159.69
55,108.89
90,181.92
89,174.05
58,116.36
87,168.2
53,102.95
17,35.54
74,152.72
85,178.24
93,177.14
97,188.14
64,132.89
62,129.93
98,202.2
33,65.78
26,53.4
62,126.12
4,8.37
18,36.73
97,190.1
70,141.48
41,78.34
60,115.53
47,95.06
73,146.01
70,138.71
20,39.52
25,49.6
30,61.68
66,126.94
5,9.79
0,0.0
52,107.92
96,185.02
2,3.94
48,97.9
44,84.84
49,101.93
1,1.93
3,5.92
9,17.3
42,82.62
3,6.04
87,180.91
99,198.48
28,55.98
43,88.37
12,25.02
94,179.42
5,9.61
61,117.69
80,165.02
51,99.38
29,55.41
93,179.53
75,152.09
69,136.11
97,192.89
50,99.32
53,110.46
28,55.04
13,27.04
46,89.34
98,204.39
97,202.9
0,0.0
39,79.03
75,151.52
65,123.56
36,68.79
6,12.33
9,18.71
96,187.86
55,106.07
89,181.9
90,177.82
45,90.94
53,106.62
5,10.31
100,196.0
74,149.51
22,43.48
69,132.1
16,32.05
16,31.07
69,138.48
77,149.94
72,137.32
14,28.18
69,143.02
9,17.42
99,190.75
16,30.85
26,50.46
53,105.03
47,98.44
23,45.08
44,87.47
80,154.73
71,146.48
66,136.13
52,101.0
72,142.89
48,92.65
1,2.01
75,150.9
45,88.14
28,53.23
94,193.76
89,180.81
51,104.74
68,139.46
33,66.09
27,51.99
83,172.94
55,105.15
39,78.43
63,128.24
35,71.29
27,56.1
37,74.56
42,85.9
59,117.03
74,147.01
76,159.53
0,0.0
6,12.04
39,81.68
13,26.36
83,158.92
73,141.36
99,194.27
93,182.66
73,142.45
27,53.93
63,121.68
59,116.62
66,133.41
85,161.68
16,33.3
32,62.84
7,14.0
10,20.65
81,169.71
84,159.64
94,187.11
66,127.79
25,52.32
94,192.61
13,25.84
23,46.13
72,140.94
25,51.71
49,94.13
91,189.7
60,119.15
