Spent,Payout
28,53.28
83,172.06
22,45.82
49,102.29
13,25.23
100,206.55
74,148.28
82,170.34
52,107.12
5,9.83
50,95.11
72,149.84
26,54.06
32,64.34
50,102.17
71,148.86
86,169.95
31,61.58
74,142.41
73,149.91
48,95.03
66,128.77
40,81.21
26,52.09
66,128.93
87,174.28
14,29.12
18,34.88
83,163.37
18,35.78
64,131.51
14,27.98
0,0.0
94,196.74
89,176.44
31,63.6
91,176.91
57,117.73
42,87.52
20,38.61
71,148.37
2,4.16
8,16.37
95,190.2
72,144.86
21,41.34
29,57.51
70,135.18
10,19.72
83,169.96
75,147.95
93,186.87
40,82.83
38,77.88
0,0.0
31,63.26
66,131.19
77,158.65
49,99.21
70,138.67
46,95.4
91,174.83
80,159.55
54,110.55
0,0.0
68,131.66
26,50.62
20,41.92
77,157.06
88,176.91
54,108.53
90,178.38
66,131.42
3,6.04
15,31.34
83,168.95
55,109.41
29,55.12
36,74.93
2,3.99
70,140.68
2,3.85
17,32.96
88,170.61
95,181.04
36,72.63
60,120.55
28,57.66
60,114.81
77,150.87
33,63.69
28,54.55
48,98.79
7,13.45
85,165.5
6,11.72
41,84.37
55,113.98
57,116.87
24,48.78
90,185.98
94,191.17
72,150.2
83,158.09
0,0.0
65,131.72
25,50.62
62,119.06
19,36.36
33,68.92
4,7.86
77,158.04
45,92.2
99,202.51
89,186.28
31,64.43
30,62.01
44,87.13
81,168.88
97,194.03
26,53.14
41,83.9
1,1.99
52,103.09
42,82.09
44,91.04
71,148.71
87,172.35
98,204.14
9,18.27
53,102.14
35,69.19
27,56.54
25,47.76
73,149.28
11,22.15
92,192.7
58,121.71
94,195.36
59,117.91
19,37.46
37,76.85
31,62.46
0,0.0
75,155.86
50,97.21
54,106.4
10,20.88
98,198.63
14,27.47
47,98.2
98,203.13
7,14.28
84,169.11
17,33.73
88,184.52
94,194.82
100,190.6
35,69.63
49,97.62
56,111.39
96,187.58
38,78.12
44,90.97
73,148.6
15,30.86
52,105.09
88,184.49
3,6.03
44,83.88
96,192.0
76,152.57
35,73.48
53,102.83
65,123.86
21,43.17
95,193.73
4,7.69
68,136.12
92,187.48
100,191.07
92,193.18
67,127.48
96,194.17
22,45.17
45,89.4
86,180.26
94,181.56
84,166.39
74,149.67
56,106.78
91,189.48
50,98.23
81,166.64
52,106.83
79,159.87
65,125.79
56,114.93
4,7.94
70,133.92
47,89.51
19,38.55
52,98.95
5,10.23
26,53.98
44,84.55
54,112.76
84,175.52
95,193.9
24,46.78
45,87.54
9,17.67
41,82.15
4,8.09
80,153.51
16,30.74
75,151.59
73,145.96
32,65.39
64,127.76
75,144.43
97,196.48
67,134.87
21,42.31
47,98.4
73,139.67
93,187.6
70,143.61
33,64.38
72,141.84
39,74.41
72,148.98
45,85.92
86,170.52
85,173.56
93,187.62
80,153.11
94,193.2
85,175.38
16,30.57
22,44.16
72,146.15
23,48.11
44,88.43
85,169.04
21,41.82
47,90.02
9,17.9
65,125.83
1,1.91
54,104.04
48,97.91
53,102.5
47,91.92
62,128.47
96,200.41
20,40.34
65,128.35
38,75.56
61,120.41
44,91.61
0,0.0
90,178.12
0,0.0
5,10.32
21,44.04
16,32.46
82,166.7
65,127.42
67,128.84
29,59.04
96,193.71
95,193.25
86,167.29
55,112.18
65,131.44
19,38.68
30,57.95
22,42.09
16,31.83
4,8.26
77,159.03
63,126.79
42,85.55
91,175.51
40,79.93
41,85.59
50,99.37
43,82.82
42,85.08
75,156.07
65,132.3
47,93.6
50,99.45
84,168.46
98,204.32
60,115.19
57,113.19
19,36.69
16,31.32
38,72.65
1,1.92
37,72.09
39,76.34
65,132.24
46,93.54
87,168.21
50,95.72
56,110.37
78,154.29
62,125.11
57,116.03
6,11.82
4,7.83
1,2.03
36,72.35
55,114.78
17,34.16
11,21.17
47,91.88
17,33.83
7,13.98
92,182.83
94,180.35
55,107.58
35,71.09
72,150.38
88,181.21
34,66.88
84,160.8
64,123.03
78,159.1
55,112.61
55,114.95
18,35.6
73,151.27
76,158.99
30,60.82
85,174.74
65,128.98
24,50.06
15,30.78
21,42.92
88,173.32
21,42.73
53,106.8
12,23.79
10,19.93
3,6.03
8,15.78
20,38.52
63,128.96
74,151.5
6,11.9
77,151.67
82,157.15
52,109.05
69,136.33
30,59.44
71,144.93
13,24.93
13,26.09
1,1.91
71,142.59
62,119.64
78,162.2
74,147.81
2,4.18
7,14.62
65,127.62
82,161.08
11,22.33
20,38.1
41,85.11
58,113.3
69,144.21
80,159.66
24,49.8
84,176.22
81,154.67
1,2.1
78,157.6
76,149.88
93,188.61
18,34.97
100,201.17
49,98.15
43,82.68
56,113.76
76,145.83
77,151.65
49,100.97
49,99.84
33,64.3
80,155.64
88,184.16
66,131.18
8,15.95
42,81.87
94,185.58
75,154.07
92,182.85
31,62.09
12,24.85
99,199.78
37,73.78
16,31.89
23,46.12
40,77.76
39,75.69
100,203.24
47,93.11
86,163.96
30,61.27
53,110.11
14,27.84
86,175.98
95,188.95
88,176.15
11,22.18
19,36.94
35,72.3
96,184.39
79,161.09
61,120.83
100,201.39
55,107.2
3,6.04
77,151.77
96,193.62
12,24.15
100,190.35
41,82.65
36,70.02
32,64.53
16,33.23
48,93.25
74,154.03
5,9.71
